date,Delta,Gamma
2023-08-09,0.13236900372248783,2.2737367544323206e-05
2023-08-10,0.1322953505678015,-6.821210263296962e-05
2023-08-11,0.13217548712418647,0.0
2023-08-14,0.13207240044721402,4.547473508864641e-05
2023-08-15,0.13212961221142905,0.0
2023-08-16,0.13207754705035768,2.2737367544323206e-05
2023-08-17,0.13213369356890325,0.0
2023-08-18,0.13221449535194552,0.0
2023-08-21,0.1321134925547085,2.2737367544323206e-05
2023-08-22,0.13204340689298988,-2.2737367544323206e-05
2023-08-23,0.13226548958300555,2.2737367544323206e-05
2023-08-24,0.13221074254943233,2.2737367544323206e-05
2023-08-25,0.13211766145104775,-4.547473508864641e-05
2023-08-28,0.13220968298810476,2.2737367544323206e-05
2023-08-29,0.13247622518974822,-4.547473508864641e-05
2023-08-30,0.13246485082163417,-2.2737367544323206e-05
2023-08-31,0.1325705886756623,-2.2737367544323206e-05
2023-09-01,0.13255995895633532,-6.821210263296962e-05
2023-09-04,0.13259149795885605,-2.2737367544323206e-05
2023-09-05,0.1324041386396857,0.0
2023-09-06,0.13228392049313697,-2.2737367544323206e-05
2023-09-07,0.13248426284917514,0.0
2023-09-08,0.13242578688732465,0.0
2023-09-11,0.13248296340861998,-2.2737367544323206e-05
2023-09-12,0.13247273614069854,-2.2737367544323206e-05
2023-09-13,0.13255106068754685,0.0
2023-09-14,0.1324991239926021,-4.547473508864641e-05
2023-09-15,0.13248492109596555,-2.2737367544323206e-05
2023-09-18,0.13246277148937224,0.0
2023-09-19,0.1324213030784449,-4.547473508864641e-05
2023-09-20,0.1323814854004013,0.0
2023-09-21,0.1323422156929155,-9.094947017729282e-05
2023-09-22,0.13242993986750662,-0.00011368683772161603
2023-09-25,0.13244180991023313,0.0
2023-09-26,0.1324951369952032,-6.821210263296962e-05
2023-09-27,0.13238857604846999,6.821210263296962e-05
2023-09-28,0.13256338661449263,0.0
2023-09-29,0.13263176242617192,4.547473508864641e-05
2023-10-02,0.13246169260128227,-2.2737367544323206e-05
2023-10-03,0.13241985925560584,-4.547473508864641e-05
2023-10-04,0.1326137601154187,2.2737367544323206e-05
2023-10-05,0.13270763133732544,-2.2737367544323206e-05
2023-10-06,0.1326573556070798,0.0
2023-10-09,0.13264928952594346,2.2737367544323206e-05
2023-10-10,0.13289155845086498,-6.821210263296962e-05
2023-10-11,0.1329219253420888,0.0
2023-10-12,0.13277877201289812,2.2737367544323206e-05
2023-10-13,0.13284155329529312,4.547473508864641e-05
2023-10-16,0.1327652353211306,-4.547473508864641e-05
2023-10-17,0.13258465855869872,-2.2737367544323206e-05
2023-10-18,0.13260971627460094,4.547473508864641e-05
2023-10-19,0.13271620673549478,0.0
2023-10-20,0.13285557997733122,0.0
2023-10-23,0.13292485505189688,-2.2737367544323206e-05
2023-10-24,0.1329672682004457,-4.547473508864641e-05
2023-10-25,0.13288291256685625,4.547473508864641e-05
2023-10-26,0.13304810636327602,4.547473508864641e-05
2023-10-27,0.13313204703990777,-2.2737367544323206e-05
2023-10-30,0.13309250903148495,-2.2737367544323206e-05
2023-10-31,0.13304459685059555,-2.2737367544323206e-05
2023-11-01,0.13329740909284737,6.821210263296962e-05
2023-11-02,0.13327629744708247,-2.2737367544323206e-05
2023-11-03,0.13359464333007054,-6.821210263296962e-05
2023-11-06,0.13345457773539238,-4.547473508864641e-05
2023-11-07,0.1335613228548027,-4.547473508864641e-05
2023-11-08,0.13355272244552907,2.2737367544323206e-05
2023-11-09,0.13339706811166252,4.547473508864641e-05
