date,Delta,Gamma
2023-08-09,0.13236900279155742,4.492569727873114e-16
2023-08-10,0.13229534989574349,-3.4173659383646707e-16
2023-08-11,0.1321754855491403,-1.1385510663786297e-16
2023-08-14,0.13207240023205696,0.0
2023-08-15,0.1321296129422936,-1.1279806970478405e-16
2023-08-16,0.13207754774417413,-1.1544974740070118e-16
2023-08-17,0.13213369272014902,1.172142677858483e-16
2023-08-18,0.13221449526282708,-1.1904351913010438e-16
2023-08-21,0.1321134920382316,2.3815787503655734e-16
2023-08-22,0.13204340722610455,-1.174573596030301e-16
2023-08-23,0.13226548857307371,-1.1811254426873762e-16
2023-08-24,0.13221074256265133,1.1554606213803067e-16
2023-08-25,0.1321176608128697,-1.1872003773462624e-16
2023-08-28,0.13220968232759134,0.0
2023-08-29,0.13247622383125857,0.0
2023-08-30,0.13246485064609767,0.0
2023-08-31,0.13257058821411066,0.0
2023-09-01,0.13255995937202977,-2.2380401620506325e-16
2023-09-04,0.13259149804670095,0.0
2023-09-05,0.13240413715632415,2.230008660353661e-16
2023-09-06,0.13228392130633324,-1.12441658520243e-16
2023-09-07,0.13248426180027795,2.280519975190537e-16
2023-09-08,0.13242578806328362,-1.1476188517615338e-16
2023-09-11,0.13248296291603287,-1.1443514573208208e-16
2023-09-12,0.1324727363825731,1.1291171431914289e-16
2023-09-13,0.13255106064570193,-1.1420904940619739e-16
2023-09-14,0.13249912298628894,-1.1392596745234708e-16
2023-09-15,0.1324849198032298,0.0
2023-09-18,0.13246277144241914,2.296083605979933e-16
2023-09-19,0.13242130208082825,-1.1463874361934662e-16
2023-09-20,0.1323814837902025,1.1513353898060195e-16
2023-09-21,0.1323422168652571,-2.346554464715182e-16
2023-09-22,0.13242993914865922,-4.850922996938104e-16
2023-09-25,0.13244181166772828,0.0
2023-09-26,0.1324951373967782,-1.2085739293349867e-16
2023-09-27,0.1323885774677352,2.4899846150089207e-16
2023-09-28,0.13256338714220364,0.0
2023-09-29,0.1326317625500569,2.459766417773136e-16
2023-10-02,0.13246169337299954,0.0
2023-10-03,0.13241985807409132,-2.472758073716667e-16
2023-10-04,0.13261375869478817,1.2710785556472886e-16
2023-10-05,0.1327076320162708,-1.2507102736981926e-16
2023-10-06,0.13265735638182186,1.253978558614481e-16
2023-10-09,0.13264928944484938,1.2248643301967533e-16
2023-10-10,0.13289155624711563,-1.2095664901876117e-16
2023-10-11,0.13292192524535074,1.1970654532034688e-16
2023-10-12,0.13277877220116535,2.3737064331291395e-16
2023-10-13,0.13284155183184768,0.0
2023-10-16,0.13276523381877514,-2.427950490776018e-16
2023-10-17,0.13258465814093054,-2.377311537566143e-16
2023-10-18,0.13260971675864608,2.377779064419623e-16
2023-10-19,0.1327162057439166,0.0
2023-10-20,0.13285558014987053,0.0
2023-10-23,0.13292485425448552,-1.274264143249394e-16
2023-10-24,0.1329672659401183,-2.557141360949465e-16
2023-10-25,0.13288291353829085,1.2601916534740015e-16
2023-10-26,0.1330481069621863,0.0
2023-10-27,0.13313204608056733,-1.3283754837087863e-16
2023-10-30,0.1330925094002009,-2.682442282357599e-16
2023-10-31,0.13304459595046084,1.3095759839871151e-16
2023-11-01,0.13329740716245095,1.2927803770909526e-16
2023-11-02,0.1332762979556212,0.0
2023-11-03,0.13359464455161596,-2.43920980488417e-16
2023-11-06,0.13345457712015665,-1.1970105216598e-16
2023-11-07,0.13356132243013905,0.0
2023-11-08,0.1335527221001126,-1.1860780792111088e-16
2023-11-09,0.13339706734041828,1.1836977982367054e-16
