date,Actual,GBM,GBM_Div,GBM_Div_AV,GBM_Div_EMS,GBM_Div_CV,GBM_Div_No_Barriers
2023-08-09,1124.23,1099.9052435058757,1136.0914265713136,1136.1397803524746,1136.8608651739053,1136.0914267068526,1163.6965284573503
2023-08-10,1125.79,1093.2515220821722,1129.1376366113038,1130.4035032796087,1129.9230067138321,1129.1376367768016,1158.825499933003
2023-08-11,1122.01,1094.2253529148431,1130.0723257599598,1128.6107907422022,1128.4038641852178,1130.0723259251374,1159.459041304265
2023-08-14,1125.99,1090.9235669251918,1126.5931890145157,1127.3687211794452,1127.1697478273963,1126.5931892137762,1156.1335610285503
2023-08-15,1121.69,1101.6858584518227,1137.6313494288875,1132.5484691886545,1132.1642734039149,1137.6313496161406,1164.7212129681525
2023-08-16,1117.81,1086.3852967363619,1121.7458750158235,1122.6240019435465,1122.703292941557,1121.7458752155155,1152.078743648484
2023-08-17,1112.36,1081.9246569221425,1117.0642086796922,1117.124935526825,1117.197220403502,1117.0642088806965,1148.586250357901
2023-08-18,1107.76,1079.214274875753,1114.2004595949893,1111.9906933779619,1111.6696975970297,1114.2004597926193,1146.6345036448404
2023-08-21,1107.25,1075.5430564288351,1110.338322350107,1110.705784533514,1110.3313777716683,1110.3383225800833,1143.5842078110427
2023-08-22,1112.44,1079.2585093649134,1114.0880574364483,1116.4319322952194,1116.1287055169662,1114.08805773083,1145.5507036082663
2023-08-23,1116.56,1079.123041832651,1113.8885785318625,1115.7779552626616,1116.2804807517473,1113.8885788480736,1145.279694285714
2023-08-24,1113.47,1089.0627865956214,1124.0745250826617,1123.5873290243896,1123.179671660649,1124.074525368563,1153.7956267701832
2023-08-25,1109.16,1076.8151232991713,1111.352355873857,1112.403016488749,1112.091841306297,1111.352356189585,1143.703509443307
2023-08-28,1117.38,1085.681572039336,1120.427660441494,1119.8129078491163,1119.5721690329794,1120.4276609467152,1149.7864056734843
2023-08-29,1126.82,1092.725431013317,1127.624451894197,1126.5671924432988,1126.7433325190727,1127.6244523909118,1155.7643022222078
2023-08-30,1131.02,1103.4058133953927,1138.5714966360426,1137.9344536597116,1138.5051634871577,1138.5714971589452,1163.7351289434432
2023-08-31,1133.56,1104.5458258924775,1139.6733165125563,1141.933448513993,1141.8177840631388,1139.673317106157,1165.1041253737237
2023-09-01,1133.36,1103.806406801875,1138.8260112216512,1140.509487985078,1140.5025179342615,1138.8260118064343,1164.307860212424
2023-09-04,1134.8,1106.1927995953304,1141.2086295417255,1142.4344386961766,1142.749132267272,1141.2086301786978,1165.7466585990287
2023-09-05,1135.24,1105.826930023018,1140.8320602141987,1140.8588594054613,1140.2114138481763,1140.8320608411402,1166.0734851417756
2023-09-06,1128.06,1100.868729929214,1135.6481083498202,1136.6674907628258,1136.9847430168713,1135.648109018002,1160.8040176708662
2023-09-07,1125.96,1096.6329343260206,1131.1873075451588,1132.9302799468046,1132.6549382673074,1131.1873082096351,1157.8410394650882
2023-09-08,1129.22,1093.8182492528274,1128.2174473491098,1129.4932114746734,1129.8206910648719,1128.2174481232726,1155.3685243263717
2023-09-11,1131.53,1096.5389798055003,1130.956530079666,1131.7633956836116,1131.3527020762765,1130.9565308880967,1157.6335819578692
2023-09-12,1130.38,1106.2906049426574,1140.9377048652652,1136.9306294486216,1136.9917090772171,1140.9377056752794,1164.8820894846083
2023-09-13,1130.38,1095.459542955971,1129.691244898994,1132.814497410325,1133.1101291095245,1129.6912459026814,1156.0467432341254
2023-09-14,1133.78,1100.2536944796361,1134.5564055821537,1135.58626841004,1135.590046250423,1134.5564078895247,1158.4060793737742
2023-09-15,1129.6,1106.493881793248,1140.9226874511996,1141.9635575811349,1141.9638728943205,1140.92268979389,1163.16024966027
2023-09-18,1129.4,1096.2725490309008,1130.297075705493,1132.1769054228985,1131.6921962941894,1130.2970780838887,1155.2859429284817
2023-09-19,1124.04,1095.4203181493738,1129.35001195015,1131.863570337526,1132.2343143725668,1129.350014558749,1153.9909466044796
2023-09-20,1128.75,1098.484675831708,1132.4349478577335,1130.2851529911363,1130.3214327096625,1132.434950346134,1156.2565163693503
2023-09-21,1112.86,1089.058704806315,1122.6326990880866,1122.9749064965094,1123.083178180673,1122.6327018804304,1148.3442660001722
2023-09-22,1111.77,1074.9473709155643,1108.0167905524065,1110.3583314917823,1110.699708943199,1108.0167935381012,1137.3791894004944
2023-09-25,1110.65,1075.9173520291604,1108.9383369068707,1108.6106818685926,1108.6408205555501,1108.9383398873513,1138.2314561762603
2023-09-26,1103.32,1076.6172874574727,1109.581700806142,1112.9017755110121,1112.3660740309426,1109.5817044665364,1138.680025788944
2023-09-27,1100.81,1069.581651272269,1102.2401275308293,1099.8649830510456,1100.2189557220893,1102.2401308581987,1132.7737902261754
2023-09-28,1104.64,1073.8888930456305,1106.6243612743933,1101.453026679988,1100.873967404171,1106.6243643623975,1136.8744543724524
2023-09-29,1105.49,1073.8686143918837,1106.531491116097,1106.5402839194592,1106.5911413437395,1106.531495123923,1136.3771651523539
2023-10-02,1100.66,1072.8050269598994,1105.3534786076252,1104.0422977421777,1104.036372764349,1105.353483644712,1134.4375673968707
2023-10-03,1093.14,1070.9248398136829,1103.3521455763546,1104.0008740089045,1104.4000651479082,1103.3521515857274,1132.1751015942643
2023-10-04,1095.92,1059.8839224744424,1091.890261788269,1094.7436535539184,1094.5192267106195,1091.890269526182,1124.6509370113847
2023-10-05,1092.53,1070.5196383231832,1102.7818825800637,1103.440821537456,1103.0740961382407,1102.7818927322453,1131.739593187287
2023-10-06,1101.96,1068.4515973550904,1100.5846168299734,1101.1269248388378,1101.541215511262,1100.58462743827,1129.6904556123015
2023-10-09,1101.28,1077.670845026243,1110.011266148934,1110.3136599313352,1110.6330953949266,1110.0112769434227,1136.9552455915891
2023-10-10,1115.47,1085.3454848630481,1117.8360702839566,1119.04105757722,1118.4993433287689,1117.8360852293326,1142.694147806547
2023-10-11,1113.01,1093.0350783395224,1125.6869750864778,1122.7297891358112,1123.1066969844119,1125.6869896905557,1148.3920159761574
2023-10-12,1115.65,1096.4302074859804,1129.108910323942,1125.4189136571936,1125.294164238109,1129.1089253131595,1150.715297819071
2023-10-13,1109.03,1088.3701688983824,1120.7316205070356,1120.823278116367,1120.5448679910671,1120.731636645957,1144.6860772893847
2023-10-16,1115.71,1085.8583125367354,1118.072478084676,1116.9753794958478,1117.3041054845185,1118.072499129762,1141.3946406237278
2023-10-17,1115.1,1087.9644110523034,1120.1577455222664,1124.4313450603763,1124.390377825937,1120.157776510126,1142.081797853712
2023-10-18,1108.82,1094.6602663483945,1126.9743165065236,1125.0408586704973,1125.3917343661326,1126.9743512328937,1146.5711940774183
2023-10-19,1103.09,1083.2444699676748,1115.147900564462,1114.9992339037346,1114.8354840235506,1115.147935688082,1138.331089583598
2023-10-20,1093.92,1078.8621055371489,1110.5613459706715,1109.912679408843,1109.9846679285438,1110.5613803250335,1134.8584136679085
2023-10-23,1094.05,1068.28537981987,1099.6012658536865,1099.8248514652894,1099.8469660356748,1099.6013015055623,1127.3063393663065
2023-10-24,1094.27,1068.987666112705,1100.2385185714409,1099.989543216459,1100.3160978517203,1100.2385620749192,1126.598299227465
2023-10-25,1090.25,1075.395003944072,1106.7682459678313,1105.1926146603696,1105.7258344703714,1106.7682909779398,1130.9561794174388
2023-10-26,1081.49,1064.865307796996,1095.8627889428183,1095.014795666058,1095.0304354560972,1095.862835675318,1123.7567590112087
2023-10-27,1081.05,1055.5830958548263,1086.2446673205638,1085.5387179177887,1085.3141890287295,1086.2447117832353,1117.6193663127674
2023-10-30,1082.03,1051.475867767784,1081.933996653453,1081.6226303706271,1082.087106762352,1081.934045288047,1113.743562428205
2023-10-31,1086.65,1061.0351499775327,1091.693687313909,1091.0383309554272,1091.5132729009326,1091.693745505901,1120.2914215806288
2023-11-01,1092.66,1069.0461567575242,1099.8702444254418,1098.858038487707,1098.187158852652,1099.8703004283923,1127.2926507419
2023-11-02,1105.86,1076.4121108271609,1107.3783232849396,1107.0389375270256,1106.4434516411227,1107.3783787434731,1132.5905645537234
2023-11-03,1118.59,1094.0392814299148,1125.4330426690847,1124.0239932241502,1124.2449953663354,1125.4331067295534,1146.2771848683112
2023-11-06,1118.63,1099.1070026321468,1130.5725663765593,1130.5466709111884,1130.4998446124646,1130.5726327470743,1149.6273074034136
2023-11-07,1120.42,1099.218560271457,1130.609645426449,1132.7792146807187,1132.6532765071215,1130.6097224589548,1149.809149133677
2023-11-08,1120.55,1101.3799485434447,1132.7693615971875,1134.8799446526511,1135.0651099182242,1132.7694412342814,1151.160970175402
2023-11-09,1121.74,1102.3371179210685,1133.652698591474,1134.5681664375495,1134.8578267293026,1133.652782263913,1151.2329134706176
