date,Actual,GBM_Div,CIR
2023-08-09,1124.23,1136.852464192634,1136.1663443593468
2023-08-10,1125.79,1128.2131398111717,1127.4829263794702
2023-08-11,1122.01,1125.7174235463317,1124.9484316241362
2023-08-14,1125.99,1121.5888898031287,1120.5276720085428
2023-08-15,1121.69,1130.0658762709234,1129.3449672317809
2023-08-16,1117.81,1119.270420855469,1118.1330615468405
2023-08-17,1112.36,1114.264370327787,1113.1833399527725
2023-08-18,1107.76,1109.7790775747776,1109.0353354850301
2023-08-21,1107.25,1112.0608330560503,1111.14846977161
2023-08-22,1112.44,1117.5991481674923,1116.42172152502
2023-08-23,1116.56,1112.0953750730364,1110.9801785811956
2023-08-24,1113.47,1119.2843199204226,1118.0065236822397
2023-08-25,1109.16,1106.1888520178613,1104.9342184677284
2023-08-28,1117.38,1114.7254814481962,1113.4990790460297
2023-08-29,1126.82,1124.4776282592259,1123.3138859102176
2023-08-30,1131.02,1134.6570208503097,1133.366732832423
2023-08-31,1133.56,1138.5221565979311,1137.716605483054
2023-09-01,1133.36,1140.7125994689184,1139.5825653190307
2023-09-04,1134.8,1140.268639263815,1139.4033691878105
2023-09-05,1135.24,1136.0688672535705,1134.997177645098
2023-09-06,1128.06,1134.7534970792326,1133.0801412553255
2023-09-07,1125.96,1131.077884924242,1129.8920365751744
2023-09-08,1129.22,1128.7614957548124,1127.3336608632671
2023-09-11,1131.53,1128.3715458422755,1126.6094161850258
2023-09-12,1130.38,1135.4676483094436,1134.0598515765078
2023-09-13,1130.38,1128.5738850562357,1126.8555722213655
2023-09-14,1133.78,1131.4300519572216,1129.7064754782768
2023-09-15,1129.6,1138.0747395709068,1136.6294334251959
2023-09-18,1129.4,1132.0166870567728,1129.9756205735741
2023-09-19,1124.04,1128.391114179603,1126.884355660165
2023-09-20,1128.75,1126.1745159247291,1124.0435296136284
2023-09-21,1112.86,1121.8916431072648,1120.2678937879793
2023-09-22,1111.77,1106.985844955,1105.4176075279877
2023-09-25,1110.65,1103.2653743443732,1101.8984373008923
2023-09-26,1103.32,1109.2921760542142,1108.7112492561726
2023-09-27,1100.81,1097.7033431719206,1096.8349202472452
2023-09-28,1104.64,1101.4537991320908,1100.4723507880435
2023-09-29,1105.49,1106.5058376291704,1105.6892171402974
2023-10-02,1100.66,1099.4143505947604,1098.3312752006489
2023-10-03,1093.14,1101.666723211715,1100.7902299558643
2023-10-04,1095.92,1089.067812178952,1088.5225037158723
2023-10-05,1092.53,1100.9029520835693,1100.10248886703
2023-10-06,1101.96,1099.7854914002937,1099.1582254315392
2023-10-09,1101.28,1109.0253728852163,1108.3984892236367
2023-10-10,1115.47,1113.8464901839698,1113.2663787424337
2023-10-11,1113.01,1118.0029472920164,1117.1177100505054
2023-10-12,1115.65,1120.6593496264593,1119.7024528831512
2023-10-13,1109.03,1120.3529351331686,1119.3850757423975
2023-10-16,1115.71,1115.8501787107161,1115.0432532233679
2023-10-17,1115.1,1125.4763288030358,1124.5911289720525
2023-10-18,1108.82,1125.1168339761207,1124.3794525296491
2023-10-19,1103.09,1112.434958624769,1112.1488466149885
2023-10-20,1093.92,1108.4977192265162,1108.1917770269129
2023-10-23,1094.05,1097.4952689279153,1097.2066470842233
2023-10-24,1094.27,1097.3678181238397,1097.538205322563
2023-10-25,1090.25,1103.4222851582088,1103.4127691444571
2023-10-26,1081.49,1093.2854766605835,1093.2199993815734
2023-10-27,1081.05,1083.7761871552939,1083.5390250990565
2023-10-30,1082.03,1084.3919350738968,1083.7917630861077
2023-10-31,1086.65,1088.359481489495,1087.5489793613008
2023-11-01,1092.66,1097.085471823893,1096.6164186221372
2023-11-02,1105.86,1107.032741938722,1106.4166847713382
2023-11-03,1118.59,1121.5990329535446,1120.9990686666451
2023-11-06,1118.63,1128.049661011536,1127.3173647940628
2023-11-07,1120.42,1128.9416533494136,1127.7283178257971
2023-11-08,1120.55,1132.6345898061927,1131.4823453331226
2023-11-09,1121.74,1133.9174632530787,1132.6583063658532
