date,Delta,Gamma
2023-08-09,0.17697739689140105,0.0007700502778582432
2023-08-10,0.17645622607037387,-0.00136323954549236
2023-08-11,0.1794343516240286,-0.0008861470494669535
2023-08-14,0.1744801319731805,-0.0014833540160198787
2023-08-15,0.17708410800919766,0.0010497696388479744
2023-08-16,0.17747681677584357,-0.0003661482706910285
2023-08-17,0.17680422213791216,-0.00014640645881343158
2023-08-18,0.18213732707689637,0.0013088743866610233
2023-08-21,0.1809931921213494,-0.0007291915985720779
2023-08-22,0.18226090419180432,5.7975828128057604e-05
2023-08-23,0.18112778464484075,-0.0009097028331077586
2023-08-24,0.17791758893809212,-0.0022946551013150085
2023-08-25,0.18075149583254688,-0.001879544818155815
2023-08-28,0.1795347766862095,-0.0004400766379037926
2023-08-29,0.17618164503869505,0.0007756519541138985
2023-08-30,0.1758618990949925,0.0008924208932684935
2023-08-31,0.17550324821001492,-0.0008385791308712299
2023-09-01,0.16875533673011534,-7.873741502788623e-06
2023-09-04,0.1711876752321039,-0.00013404878563797354
2023-09-05,0.17308732151557957,0.0011761646931368547
2023-09-06,0.1774216297842576,-0.00035985677985234045
2023-09-07,0.17181697895014883,-0.00018178090515245053
2023-09-08,0.1763395461002921,-0.0011387665578589227
2023-09-11,0.17583005142631866,-0.0005584704113850502
2023-09-12,0.1707905695688328,0.0007129248966683198
2023-09-13,0.17479739909831513,-0.0011365764844230215
2023-09-14,0.1764675704472376,-9.451448617060038e-05
2023-09-15,0.1722786584588024,-0.0010356715954536093
2023-09-18,0.17383197013276375,0.0012282018938623372
2023-09-19,0.17725869550982,0.000560884903437574
2023-09-20,0.1742473108659591,0.001356457950410937
2023-09-21,0.18305120985886145,-0.00016483189039625718
2023-09-22,0.18030747693420984,-0.00033113323926137927
2023-09-25,0.18026597148279216,-0.0007430118143725407
2023-09-26,0.18355932984457177,4.420182295919633e-06
2023-09-27,0.18540801746261337,-0.0012835640622515514
2023-09-28,0.18571118486362742,-0.0005625653882784495
2023-09-29,0.18733752879439117,0.00044042800547535
2023-10-02,0.18952379945466083,-0.0017989920696147538
2023-10-03,0.18641356183922728,0.0021115668679726578
2023-10-04,0.18850372876848798,-9.979330813843023e-05
2023-10-05,0.18615618537784484,-0.0009547821176149234
2023-10-06,0.18453943386989968,0.001600838345652546
2023-10-09,0.18231570644890177,9.685009343481011e-05
2023-10-10,0.18061502168870697,5.63668727434123e-05
2023-10-11,0.181806348587933,-0.0010892802260448304
2023-10-12,0.17534268850193224,0.00028798335382100923
2023-10-13,0.17537076065517027,-0.0002578196809031782
2023-10-16,0.18018669640122525,0.0006152269199930682
2023-10-17,0.17502007737055694,0.00033906908204161656
2023-10-18,0.17633506481290193,-0.0010947059968028647
2023-10-19,0.18194789753840016,-0.0004479131836076554
2023-10-20,0.183519687039627,-0.00022144919126077035
2023-10-23,0.1863875669324506,-0.0012246406169012256
2023-10-24,0.18989243474604667,-0.0011483871573603342
2023-10-25,0.18110122938323403,-0.0010629528579482964
2023-10-26,0.18730491684001357,0.0006313592550578673
2023-10-27,0.19800606519430705,0.0006659097064790379
2023-10-30,0.1956125833488844,0.0002698371573141829
2023-10-31,0.1912732364367279,0.0004225487505007171
2023-11-01,0.1946349299913491,-0.0006927372265342468
2023-11-02,0.19160053893252357,0.00038940290864978493
2023-11-03,0.1769288391952188,-0.0005207432579555845
2023-11-06,0.1815242587041658,-0.00044745323699968106
2023-11-07,0.17378726372079586,-0.0003196130124910106
2023-11-08,0.17436694762925858,-0.00044663495573153553
2023-11-09,0.17829250139894495,0.00047983889400919535
