,date,Actual,GBM,GBM_Div,GBM_Div_AV,GBM_Div_EMS,GBM_Div_CV,GBM_Div_No_Barriers
0,2023-08-09,1124.23,1100.6579895435964,1134.407108759671,1133.24266712578,1133.0826839754754,1134.4071088900653,1162.8272005216804
1,2023-08-10,1125.79,1094.7430727602864,1128.2411724159597,1127.4185208285746,1127.5517435960178,1128.2411725803613,1157.464261935708
2,2023-08-11,1122.01,1094.789635075242,1128.2149619941754,1126.6633540888288,1126.6808093695713,1128.2149621602946,1156.9637801636595
3,2023-08-14,1125.99,1090.2327856936586,1123.4530544087745,1125.2100348317088,1125.1662471418922,1123.4530546231615,1152.7057177033732
4,2023-08-15,1121.69,1097.592241942914,1130.9684868599109,1129.9774576436437,1130.4383750362772,1130.9684870678127,1158.4225215594065
5,2023-08-16,1117.81,1085.51159297499,1118.4537455722102,1119.9147448997116,1120.4779237096209,1118.453745787623,1148.762609139379
6,2023-08-17,1112.36,1085.2664747945148,1118.1283867352377,1114.8720484887403,1115.0476270204351,1118.1283869330143,1148.6109943296335
7,2023-08-18,1107.76,1075.6079184135283,1108.0923196680155,1109.2149821963978,1109.5696927008953,1108.09231988788,1141.1767888115485
8,2023-08-21,1107.25,1074.3649430484077,1106.7581665916368,1108.5948055837098,1108.6102106727385,1106.7581668435678,1139.8055644587437
9,2023-08-22,1112.44,1082.6416168750147,1115.210317343404,1113.906028638959,1113.9260916823405,1115.210317640206,1145.572417147609
10,2023-08-23,1116.56,1079.7245296495234,1112.1384289777036,1112.9826516935286,1112.802166601771,1112.138429281111,1144.1737937377009
11,2023-08-24,1113.47,1089.2185780893103,1121.8505907262263,1121.3313708093854,1120.8051837199855,1121.8505910166143,1151.4698985099644
12,2023-08-25,1109.16,1078.904033434992,1111.1524177727808,1110.1291235305932,1110.2653584442107,1111.1524180777712,1142.4460577150262
13,2023-08-28,1117.38,1085.382622325533,1117.747545939884,1117.18638507992,1117.215887581442,1117.7475464686722,1147.141357401292
14,2023-08-29,1126.82,1090.8380942337326,1123.2987604657128,1124.8113603707577,1124.8507514079497,1123.2987610265568,1151.462606629242
15,2023-08-30,1131.02,1102.9543147465067,1135.709815349344,1135.4312739987736,1135.910569318945,1135.7098158915762,1161.078627291852
16,2023-08-31,1133.56,1108.938118860757,1141.8024590207235,1139.6874632561746,1139.7327611333817,1141.8024595618267,1166.0509010197256
17,2023-09-01,1133.36,1107.559643547342,1140.3136329170168,1138.0706454062035,1138.400165297691,1140.3136334879373,1164.7596298740636
18,2023-09-04,1134.8,1107.2902014209233,1139.9571244009398,1139.981669749869,1139.959287545414,1139.957125039511,1164.462508816858
19,2023-09-05,1135.24,1106.42059189775,1139.0581493838422,1138.5776559134176,1138.7337016807603,1139.0581500152216,1163.3484359206789
20,2023-09-06,1128.06,1102.039174411152,1134.487709612923,1134.2518741798972,1134.170224714488,1134.487710271058,1159.756357979148
21,2023-09-07,1125.96,1097.4503375998358,1129.689025843012,1129.949172638519,1129.878631882022,1129.6890265064785,1156.3638690500356
22,2023-09-08,1129.22,1094.480518441459,1126.5580399649032,1127.7422014233257,1127.277513328245,1126.5580407594086,1153.6289663236842
23,2023-09-11,1131.53,1095.902148975577,1127.9563772758836,1129.1316825779877,1128.4999984675046,1127.9563780919038,1155.1048685370663
24,2023-09-12,1130.38,1102.0018383767688,1134.1633348634848,1134.5936995141135,1133.913834541927,1134.1633357843375,1159.616562343203
25,2023-09-13,1130.38,1100.193966774384,1132.2344178638991,1130.4532710093936,1130.2337794982982,1132.2344187922715,1157.9323003515071
26,2023-09-14,1133.78,1100.0885958341182,1132.0500968127503,1133.0521054373971,1132.9832216770678,1132.0500991455156,1156.0133557482866
27,2023-09-15,1129.6,1106.7518438635043,1138.845010288508,1139.6841427557422,1139.764333964117,1138.8450127035485,1160.896565296047
28,2023-09-18,1129.4,1096.5766126302212,1128.2967175343747,1129.540311804592,1129.6167238208736,1128.2967200382836,1152.9092275352816
29,2023-09-19,1124.04,1097.3362941663029,1129.0129408015298,1129.9424925665612,1129.79940149351,1129.0129433787572,1153.312065028368
30,2023-09-20,1128.75,1097.7302757056798,1129.347692718653,1128.0596974874156,1128.1729085230618,1129.3476953282864,1153.1583538866237
31,2023-09-21,1112.86,1088.1928615609093,1119.470271509577,1120.533352065444,1120.1768038358307,1119.4702744001709,1145.8177428670317
32,2023-09-22,1111.77,1075.9433318856006,1106.7901548307025,1108.1755577129163,1108.1389978535951,1106.790157847469,1136.0939276433162
33,2023-09-25,1110.65,1077.0836672061282,1107.8869034704653,1106.6550695255046,1106.5547913775774,1107.8869063822583,1136.7827772641726
34,2023-09-26,1103.32,1080.3941272466266,1111.227017408549,1110.3071637719531,1110.3574137008222,1111.227020909932,1139.158208520705
35,2023-09-27,1100.81,1067.7507924050483,1098.1589058864024,1097.8462898733846,1097.993756398043,1098.1589094794103,1129.2080519895426
36,2023-09-28,1104.64,1068.589401452234,1098.9539508312628,1099.2211774319735,1099.1489807837595,1098.953954505478,1130.0822683182844
37,2023-09-29,1105.49,1075.1240120504092,1105.604133201847,1104.6610001157244,1104.4736453306969,1105.604137381171,1134.9746438526724
38,2023-10-02,1100.66,1071.473334289056,1101.7810483572368,1101.6777385525493,1101.319884309369,1101.7810536752086,1131.5406738882343
39,2023-10-03,1093.14,1070.9333574291954,1101.1605296024734,1101.564039200036,1101.5215522632002,1101.1605357829192,1130.482085239322
40,2023-10-04,1095.92,1061.943979495668,1091.8416722848958,1092.9820688426914,1092.689648857554,1091.841679769659,1123.791060846358
41,2023-10-05,1092.53,1071.6058090261336,1101.7155593215125,1100.763393341793,1101.230907402987,1101.7155695407369,1130.1347401602454
42,2023-10-06,1101.96,1068.907725873691,1098.8665283087964,1099.065829724218,1098.9344012376437,1098.866539371407,1128.1684608730004
43,2023-10-09,1101.28,1078.2524432528246,1108.4034860622455,1108.8079132173991,1108.7748939121957,1108.4034971228818,1134.97219206546
44,2023-10-10,1115.47,1086.6483015772628,1116.9630959781173,1116.3967312969985,1116.0191346292347,1116.9631108666244,1141.754083146729
45,2023-10-11,1113.01,1090.897264182831,1121.2650986509316,1120.8712594572382,1121.2528686316762,1121.265114402108,1143.9892644892818
46,2023-10-12,1115.65,1092.2138875428857,1122.54064008427,1122.8308327209015,1122.7975452917774,1122.5406569432682,1145.24110570598
47,2023-10-13,1109.03,1087.790630725668,1117.9288654407842,1118.7687196682032,1119.2185487473032,1117.9288827080338,1141.1941989587178
48,2023-10-16,1115.71,1085.601498402224,1115.611158408265,1114.8480467672618,1114.9720012541625,1115.6111806465792,1139.075268686179
49,2023-10-17,1115.1,1092.5442649445624,1122.680726170472,1121.9767679598124,1122.201555375338,1122.6807539883357,1143.5189949577857
50,2023-10-18,1108.82,1093.4170334165826,1123.5067704358669,1122.8056339546642,1122.7099922808711,1123.5068067653654,1143.760820587018
51,2023-10-19,1103.09,1082.6096905826191,1112.3240599860517,1113.0653965389954,1113.0770436996088,1112.3240968365556,1135.2694420916928
52,2023-10-20,1093.92,1077.4596414555383,1106.9697568042184,1107.8529934932635,1107.7661890344816,1106.969793912671,1131.5995596081316
53,2023-10-23,1094.05,1067.8646312396588,1097.0485176572477,1098.0016050705458,1097.9710812937892,1097.048554435457,1124.5859130755691
54,2023-10-24,1094.27,1067.9099390640583,1097.0224270076617,1097.4159040047805,1097.6999220772266,1097.022471911588,1123.9231419513858
55,2023-10-25,1090.25,1073.954730579488,1103.1615694167567,1103.0395028289918,1102.9528126715336,1103.1616168164744,1128.104155389704
56,2023-10-26,1081.49,1063.8521562530825,1092.7210377162637,1092.6946403639845,1092.520326581577,1092.72108629726,1121.0700557795342
57,2023-10-27,1081.05,1057.8409000354727,1086.469327899351,1083.7626117798843,1083.5531375087994,1086.4693736499842,1116.9017805877477
58,2023-10-30,1082.03,1051.3685156025645,1079.746949910025,1079.4770958038494,1079.7235656582625,1079.7469999179202,1111.788323169543
59,2023-10-31,1086.65,1060.5363612670585,1089.1031539213109,1089.790228517712,1089.763214324689,1089.1032147482288,1117.6130700692354
60,2023-11-01,1092.66,1067.6367646285405,1096.3266673564672,1096.8858261504572,1096.8562928522497,1096.3267287853926,1123.5090842659072
61,2023-11-02,1105.86,1074.682992043009,1103.4907130019128,1104.7449961650293,1104.514764846817,1103.4907727698858,1128.9345920404646
62,2023-11-03,1118.59,1092.3660188822712,1121.5878466890597,1122.0664629951782,1122.1004841637894,1121.587914966483,1142.834313063026
63,2023-11-06,1118.63,1100.1628477366387,1129.5279619076564,1128.3968051860738,1128.5080899691693,1129.5280310226528,1148.2396653316807
64,2023-11-07,1120.42,1100.0711843938943,1129.3605794257687,1130.5082629611593,1130.510168794381,1129.3606559490313,1148.3122252131625
65,2023-11-08,1120.55,1103.375830491496,1132.6763986317187,1132.9030693881025,1133.186743305553,1132.6764783139747,1150.3335864108403
66,2023-11-09,1121.74,1104.841982153557,1134.1094032537294,1132.235868261787,1132.0539457221423,1134.109482914966,1151.62316455378
