date,Actual,GBM,GBM_Div,GBM_Div_AV,GBM_Div_EMS,GBM_Div_CV
2023-08-09,1124.23,1099.2009300117538,1132.9094922741958,1133.2517460865047,1132.8652521739286,1132.9094924073427
2023-08-10,1125.79,1094.7914742487408,1128.2887195287253,1127.708298865749,1127.488754765722,1128.2887196951538
2023-08-11,1122.01,1093.604043882368,1126.995860599593,1126.529397867979,1126.5224558315763,1126.99586077269
2023-08-14,1125.99,1094.109045285122,1127.4504542485358,1125.1997107738655,1124.7186770819899,1127.450454444754
2023-08-15,1121.69,1097.5646366929939,1130.9341709203459,1130.2952516686855,1130.0527040293052,1130.9341711279208
2023-08-16,1117.81,1085.484240293252,1118.4133803931861,1120.103800576131,1120.1964223441335,1118.413380605416
2023-08-17,1112.36,1081.4729318617303,1114.2088506659538,1114.939512406317,1114.8867332198586,1114.2088508796244
2023-08-18,1107.76,1079.0207357595611,1111.625322384192,1109.3295596607454,1109.4353902212852,1111.6253225905368
2023-08-21,1107.25,1074.206089768628,1106.591706216139,1108.952805793862,1108.9117328004827,1106.5917064692858
2023-08-22,1112.44,1083.560010258109,1116.154827984581,1113.6991913816262,1113.8962795747032,1116.1548282714593
2023-08-23,1116.56,1082.927356952251,1115.428853003248,1113.0324358898356,1113.1593427835767,1115.4288532886155
2023-08-24,1113.47,1090.2752348366064,1122.938624655685,1121.2114085865012,1121.218745865583,1122.938624944966
2023-08-25,1109.16,1076.7322078688046,1108.9178432330239,1109.738601866708,1109.6479947721991,1108.9178435539957
2023-08-28,1117.38,1084.844993190696,1117.2079714725066,1117.6088058301127,1117.8325201144687,1117.2079719988242
2023-08-29,1126.82,1092.34083011574,1124.8591767659489,1124.3877698569204,1124.1820601677575,1124.8591772892107
2023-08-30,1131.02,1101.7374041967742,1134.4612364589914,1135.3770694101618,1135.7466946519305,1134.4612370157467
2023-08-31,1133.56,1108.9890986380638,1141.8562129473294,1139.55335295843,1139.6196196754663,1141.8562134804924
2023-09-01,1133.36,1106.6189522406667,1139.3425594287396,1138.2332532441446,1137.8915060924912,1139.3425599909847
2023-09-04,1134.8,1104.6402071025227,1137.2309637993596,1140.0422503699224,1139.828898352624,1137.2309644732836
2023-09-05,1135.24,1105.798970621975,1138.4245811391104,1138.287221879454,1137.987237665838,1138.4245817788687
2023-09-06,1128.06,1102.2896596353933,1134.736882595526,1134.2964578367826,1134.377061851443,1134.7368832546513
2023-09-07,1125.96,1098.5709395670933,1130.8471931368226,1130.305997199158,1130.2904898143943,1130.8471937897423
2023-09-08,1129.22,1096.4968425464056,1128.6348621375012,1127.6100892765792,1127.4300796031173,1128.634862916709
2023-09-11,1131.53,1099.1555518245416,1131.3067893299499,1129.4681102901693,1129.327637067481,1131.306790123278
2023-09-12,1130.38,1101.09708103678,1133.2258112209727,1134.39098139617,1134.3394076339237,1133.2258121583527
2023-09-13,1130.38,1099.4200624595976,1131.4386934792562,1130.666537994411,1130.444235940919,1131.4386944253529
2023-09-14,1133.78,1101.1315699759575,1133.1305761428214,1133.471753276234,1133.5180819643786,1133.1305785349646
2023-09-15,1129.6,1105.5168384491649,1137.5774447494414,1139.3987679536242,1139.6404946382818,1137.577447167416
2023-09-18,1129.4,1097.3733262791523,1129.1196699321051,1129.696956858774,1129.8346238990325,1129.119672370497
2023-09-19,1124.04,1099.9466643507085,1131.6911774777548,1130.0784472440607,1130.1599931004032,1131.691179931571
2023-09-20,1128.75,1096.3770780345974,1127.9494442798025,1127.9025307120492,1128.044537205367,1127.949446898125
2023-09-21,1112.86,1088.761419882882,1120.0469537646834,1120.4189229812175,1120.1930240776098,1120.0469566049758
2023-09-22,1111.77,1075.432727048693,1106.2705975796932,1108.3244103752822,1108.1826195337978,1106.2706006014369
2023-09-25,1110.65,1076.088653329998,1106.8780938493119,1106.4693229559361,1106.0713922071473,1106.8780968883111
2023-09-26,1103.32,1079.4766855457674,1110.2878407803087,1110.397857448112,1110.0437203615597,1110.2878443184297
2023-09-27,1100.81,1067.291382707932,1097.6839547302122,1098.0020530263073,1097.8469881777858,1097.6839583074122
2023-09-28,1104.64,1068.9161457807102,1099.268673779179,1099.3342786626074,1099.2832421290207,1099.2686774526344
2023-09-29,1105.49,1074.0693085726623,1104.5168876246912,1104.9995982459445,1104.857081663341,1104.5168920130757
2023-10-02,1100.66,1072.165017325785,1102.489871838969,1101.4437859449708,1101.452530595849,1102.4898770908533
2023-10-03,1093.14,1071.6737752705972,1101.9164843075093,1101.7403229257313,1102.2404028853227,1101.916490505451
2023-10-04,1095.92,1062.612903101365,1092.5400992539003,1092.929084298047,1092.735513987435,1092.5401067255232
2023-10-05,1092.53,1072.9121634268888,1103.057898936297,1100.8882281503406,1101.054677982894,1103.0579091360687
2023-10-06,1101.96,1068.7078987959474,1098.6633759930414,1099.042099937272,1098.7678582644846,1098.6633868304941
2023-10-09,1101.28,1078.2488704621244,1108.4033190285872,1108.52844638291,1108.5211077263098,1108.4033300362314
2023-10-10,1115.47,1085.1864946095413,1115.4631698596404,1116.6340467031368,1116.6544922388573,1115.4631857028035
